uid,created_date,survival_time,country,have_services,log_score,label
232,2018-06-04,1689.0,TR,0,-131.17971843439497,scam
233,2022-06-21,210.0,-,0,-199833.49873295912,scam
234,2021-02-05,711.0,US,1,-199833.49873295912,scam
235,2022-06-27,204.0,CN,1,-257.7373098110951,scam
236,2022-09-30,110.0,US,0,-350.4782114229509,scam
237,2022-02-10,338.0,-,0,-199833.49873295912,scam
238,2022-09-12,124.0,-,0,-199833.49873295912,scam
239,2018-07-24,1635.0,-,1,-199833.49873295912,scam
240,2022-09-22,107.0,US,0,-100652.65205617686,scam
241,2022-11-01,67.0,CH,0,-45.29194979889779,scam
242,2022-09-27,102.0,-,0,-199833.49873295912,scam
243,2022-05-17,235.0,CN,1,-261.6721238312104,scam
244,2021-04-29,628.0,-,0,-199833.49873295912,scam
245,2022-09-23,117.0,HK,0,-221.73730981109512,scam
246,2022-10-15,95.0,US,0,-100652.65205617686,scam
247,2020-07-27,894.0,US,1,-100652.65205617686,scam
248,2020-05-11,978.0,US,0,-100652.65205617686,scam
249,2022-07-13,178.0,US,0,-199833.49873295912,scam
250,2022-08-31,140.0,US,0,-100652.65205617686,scam
251,2020-11-16,789.0,US,0,-199833.49873295912,scam
252,2022-04-10,283.0,US,0,-100652.65205617686,scam
253,2021-12-27,387.0,-,0,-199833.49873295912,scam
254,2022-09-08,132.0,US,0,-199833.49873295912,scam
255,2021-12-02,412.0,US,1,-100652.65205617686,scam
256,2022-10-22,88.0,CA,0,-8736.17105438239,scam
257,2021-02-17,689.0,US,0,-100652.65205617686,scam
258,2022-11-17,62.0,VN,0,-6.920558458320164,scam
259,2022-05-16,236.0,US,0,-100652.65205617686,scam
260,2022-08-28,139.0,HK,0,-16551.810345257974,scam
261,2022-09-28,101.0,CN,0,-261.6721238312104,scam
262,2022-03-23,301.0,SG,0,-11.208240530771944,scam
263,2022-04-19,274.0,US,0,-177.2919497988978,scam
264,2022-02-06,346.0,RU,0,-5.90138771133189,scam
265,2022-03-07,306.0,US,0,-100652.65205617686,scam
266,2022-06-28,204.0,US,0,-100652.65205617686,scam
267,2022-10-25,85.0,-,0,-199833.49873295912,scam
268,2018-12-03,1506.0,CA,1,-199833.49873295912,scam
269,2022-10-22,88.0,GB,0,-5879.034919654398,scam
270,1994-07-26,10402.0,US,1,-100652.65205617686,scam
271,2022-10-26,73.0,RU,0,-24.6677954898248,scam
272,2022-08-31,139.0,GB,0,-52.04875628141857,scam
273,2022-05-30,233.0,FR,0,-8736.17105438239,scam
274,2022-08-13,158.0,US,0,-173.00956741322128,scam
275,2022-11-18,61.0,US,0,-5879.034919654398,scam
276,2021-11-11,432.0,US,0,-10.3905620875659,scam
277,2008-04-04,5391.0,-,0,-199833.49873295912,scam
